nombre;fecha_inicio;fecha_cierre;region;link;estado;descripcion_corta;requisitos
CONVOCATORIA CDPR METROPOLITANO 2026: VIRALIZA FORMACIÓN;04/05/2026;04/06/2026;Metropolitana;https://www.corfo.gob.cl/sites/cpp/convocatoria/cdpr-metropolitano-viraliza-formacion-2026/;Abiertas;"Se busca fortalecer la articulación entre los actores del ecosistema dinámico de la región Metropolitana, promoviendo colaboración, transferencia de conocimientos, herramientas, habilidades y/o metodologías, en los siguientes focos: Turismo Inteligente y Sostenible; Desarrollo Productivo Sostenible y Economía Circular; y Emprendimiento orientado a ciudades inteligentes y encadenamientos productivos en la Región Metropolitana.";Beneficiarios: ⏎ Pueden postular personas jurídicas constituidas o creadas en Chile. ⏎ Coejecutores y/o asociados deben ser personas jurídicas constituidas o creadas en Chile. ⏎ Bases legales ⏎ Focalización Territorial: ⏎ El proyecto debe ser ejecutado en la Región Metropolitana. En mérito de lo anterior, el número de Beneficiarios Atendidos y los resultados comprometidos se medirán únicamente en función de los participantes atendidos de dicha región. Además, la formulación del proyecto deberá tener coherencia con la Región Metropolitana de Santiago, considerando aspectos como conocimiento y experiencia ejecutando proyectos en ⏎ el territorio, con emprendedores relacionados con la categoría específica del llamado. ⏎ Focalización Temática: ⏎ a. Turismo Inteligente y Sostenible. ⏎ b. Desarrollo Productivo Sostenible y Economía Circular. ⏎ c. Emprendimiento orientado a ciudades inteligentes y encadenamientos productivos (ver documento de focalización y anexo N°1)
DESARROLLA INVERSIÓN PRODUCTIVA – REGIÓN DE AYSÉN – 1° CONVOCATORIA 2026;04/05/2026;04/06/2026;Aysén;https://www.corfo.gob.cl/sites/cpp/convocatoria/desarrolla-inversion-productiva-region-de-aysen-1-convocatoria-2026/;Abiertas;Buscamos apoyar la materialización de proyectos de inversión productiva con potencial de generación de externalidades positivas, mediante el otorgamiento de un cofinanciamiento para la adquisición de activo fijo, habilitación de infraestructura productiva y capital de trabajo. Se entenderá por proyectos de inversión productiva, aquellos que tengan por objeto la producción y comercialización de bienes o servicios, que contribuyan al incremento de la actividad económica y generen nuevos empleos.;Contribuyentes que tributen en Primera Categoría. ⏎ Empresas privadas no constituidas en Chile, que tributen en los términos señalados en el numeral 1, o que desarrollen actividades similares a aquellas gravadas en Chile por el Impuesto de Primera Categoría, que desarrollen proyectos de inversión productiva o de servicios. ⏎ Bases legales ⏎ Proyecto de inversión estimado sea igual o superior a $ 12.000.000 (doce millones de pesos). ⏎ Cuando el beneficiario sea una empresa de base indígena o una cooperativa indígena, Proyecto de inversión estimado sea igual o superior a $ 10.000.000 (diez millones de pesos).
PAR – REGIÓN DE AYSÉN – 1° CONVOCATORIA 2026 LITORAL DE AYSÉN;04/05/2026;29/05/2026;Aysén;https://www.corfo.gob.cl/sites/cpp/convocatoria/par-aysen-1-convocatoria-litoral-de-aysen-2026/;Abiertas;Programa que busca apoyar la reactivación productiva de micro y pequeñas empresas del litoral de la Región de Aysén, mediante el cofinanciamiento de proyectos de inversión que fortalezcan sus capacidades, mejoren su gestión y les permitan acceder a nuevas oportunidades de negocio.;Podrán postular proyectos que se ejecuten por contribuyentes de primera categoría del SII en las Comunas de Guaitecas, Aysén y Tortel. ⏎ La focalización temática es de carácter multisectorial, orientada a iniciativas que aborden distintas áreas de desarrollo vinculadas al litoral de Aysén. ⏎ Bases legales ⏎ En la comuna de Aysén se priorizará, según la focalización del CDPR Aysén, la localidad de Islas Huichas, que comprende los pueblos de Puerto Aguirre, Estero Copa y Caleta Andrade, debido a su condición estratégica y necesidades de desarrollo territorial en el litoral. ⏎ La postulación se realiza a través de alguno de los Agentes Operadores Intermediarios (AOI) de CORFO habilitados en la región de Aysén. Para efectos de la presente convocatoria Codesser o Gedes.
PRIMER CONCURSO INNOVA REGIÓN COMITÉ DE DESARROLLO PRODUCTIVO REGIONAL AYSÉN 2026;04/05/2026;04/06/2026;Aysén;https://www.corfo.gob.cl/sites/cpp/convocatoria/primer-concurso-innova-region-comite-de-desarrollo-productivo-regional-aysen-2026/;Abiertas;Innova Región es un instrumento que busca apoyar el desarrollo de nuevos o mejorados productos (bienes o servicios) y/o procesos desde la fase de prototipo, hasta la fase de validación técnica a escala productiva y/o validación comercial, que aporten a la economía regional y fortalezcan las capacidades de innovación en la empresa.;Personas jurídicas constituidas en Chile. ⏎ Personas naturales que, al momento de postular, tengan cumplidos, a lo menos, 18 años de edad. ⏎ Bases legales ⏎ Al momento de la postulación, se deberá cumplir con los siguientes requisitos: ⏎ Haber transcurrido, a lo menos, 18 meses, contados desde la fecha de inicio de actividades en un giro empresarial de primera categoría, de conformidad con lo establecido en el artículo 20 de la Ley de Impuesto a la Renta (D.L. 824, de 1974), el cual debe encontrarse vigente. ⏎ Acreditar ingresos por ventas dentro de los 18 meses previos a la postulación (no necesariamente en todos los meses).
Semilla Inicia Aysén 2026 CDPR;04/05/2026;04/06/2026;Aysén;https://www.corfo.gob.cl/sites/cpp/convocatoria/semilla-inicia-aysen-cdpr-2026/;Abiertas;Buscamos apoyar a emprendedores y emprendedoras que cuenten con proyectos de negocios de alto potencial de crecimiento, mediante el cofinanciamiento de actividades para la validación técnica y comercial del emprendimiento, además de acceso a servicios de apoyo para su implementación y desarrollo.;Si postula como persona natural, debe tener más de 18 años y tener residencia en Chile. ⏎ Si postula como persona jurídica, la empresa debe tener una antigüedad máxima de 18 meses de inicio de actividades en SII contados desde la fecha de apertura de la convocatoria y no tener ventas hasta el mes calendario anterior a la apertura de la convocatoria, independiente de su giro. ⏎ Bases legales
VIRALIZA DIFUSION MEDIOS AYSEN 2026;04/05/2026;04/06/2026;Aysén;https://www.corfo.gob.cl/sites/cpp/convocatoria/viraliza-difusion-medios-aysen-2026/;Abiertas;Busca la difusión y promoción del emprendimiento y de la innovación, mediante la realización de programas audiovisuales, a ser transmitidos a través de medios de comunicación masiva, que permitan poner en conocimiento del público general casos relevantes de emprendimiento e innovación, con carácter motivacional e inspiracional, además, de metodologías y otros temas y materias ligadas al emprendimiento y la innovación en la Región de Aysén.;Pueden postular personas jurídicas constituidas o creadas en Chile. ⏎ Coejecutores y/o asociados deben ser personas jurídicas constituidas o creadas en Chile ⏎ Bases legales
Viraliza Eventos Tarapacá 2026;04/05/2026;04/06/2026;Tarapacá;https://www.corfo.gob.cl/sites/cpp/convocatoria/viraliza-eventos-tarapaca-2026/;Abiertas;El objetivo será realizar eventos de alta convocatoria, de forma presencial, que promuevan el intercambio de conocimientos, generación de redes y traspaso de buenas prácticas relacionadas con el emprendimiento y la innovación, con la finalidad de acelerar el desarrollo y fortalecimiento de los ecosistemas de emprendimiento dinámico de la región.;Pueden postular personas jurídicas constituidas o creadas en Chile. ⏎ Bases legales ⏎ Coejecutores y/o asociados deben ser personas jurídicas constituidas o creadas en Chile.
Start-Up Chile – Build 12;04/05/2026;25/05/2026;Todo Chile;https://www.corfo.gob.cl/sites/cpp/convocatoria/start-up-chile-build-12-2026/;Abiertas;"Start-Up Chile está compuesto por tres líneas que se funden en este instrumento; en primer lugar “Build” que tiene por finalidad la pre-aceleración enfocada en desarrollo de MVP, prototipos y habilidades emprendedoras; en segundo lugar “Ignite”, que tiene por finalidad la aceleración de startups que utilicen a Chile como plataforma para el crecimiento comercial de nuevos negocios; y, en tercer lugar “Growth”.";Personas naturales chilenas o extranjeras, mayores de 18 años. ⏎ Personas jurídicas con fines de lucro, constituidas en Chile con iniciación de actividades ante el Servicio de Impuestos Internos. ⏎ Bases legales ⏎ Corresponde a una persona natural chilena o extranjera, que al momento de la postulación tenga cumplido, a lo menos, dieciocho años de edad, y sea fundador(a) o socio(a) de una persona jurídica extranjera que ejecuta un proyecto global (de base tecnológica) que utilice a Chile como plataforma. ⏎ Podrán postular personas jurídicas con fines de lucro, constituidas en Chile, que ejecuten un proyecto global (de base tecnológica) que utilice a Chile como plataforma, y que no tengan iniciación de actividades ante el Servicio de Impuestos Internos por un período superior a 12 meses contados hacia atrás desde la fecha de apertura de la respectiva convocatoria.
Start-Up Chile – Growth 12;04/05/2026;25/05/2026;Todo Chile;https://www.corfo.gob.cl/sites/cpp/convocatoria/start-up-chile-growth-12-2026/;Abiertas;"El Programa Start-Up Chile está compuesto por tres líneas que se funden en este instrumento; en primer lugar “Build”, que tiene por finalidad la pre-aceleración enfocada en desarrollo de MVP, prototipos y habilidades emprendedoras; en segundo lugar “Ignite”, que tiene por finalidad la aceleración de startups que utilicen a Chile como plataforma para el crecimiento comercial de nuevos negocios; y, en tercer lugar “Growth”.";Personas naturales chilenas o extranjeras, mayores de 18 años ⏎ Personas jurídicas con fines de lucro, constituidas en Chile con iniciación de actividades ante el Servicio de Impuestos Internos. ⏎ Bases legales ⏎ Corresponde a una persona natural chilena o extranjera, que al momento de la postulación tenga cumplido, a lo menos, dieciocho años de edad, y sea fundador(a) o socio(a) de una persona jurídica extranjera que ejecuta un proyecto global (de base tecnológica) que utilice a Chile como plataforma. ⏎ Se deberá demostrar que el proyecto global (tanto en Chile como en el extranjero) ha tenido ingresos por ventas, en los 12 meses anteriores al mes de apertura del concurso de, al menos 2.400 UF y hasta 25.000 UF.
Start-Up Chile – Ignite 12;04/05/2026;25/05/2026;Todo Chile;https://www.corfo.gob.cl/sites/cpp/convocatoria/start-up-chile-ignite-12-2026/;Abiertas;"El Programa Start-Up Chile está compuesto por tres líneas que se funden en este instrumento; en primer lugar “Build”, que tiene por finalidad la pre-aceleración enfocada en desarrollo de MVP, prototipos y habilidades emprendedoras; en segundo lugar “Ignite”, que tiene por finalidad la aceleración de startups que utilicen a Chile como plataforma para el crecimiento comercial de nuevos negocios; y, en tercer lugar “Growth”.";Personas naturales chilenas o extranjeras, mayores de 18 años. ⏎ Personas jurídicas con fines de lucro, constituidas en Chile con iniciación de actividades ante el Servicio de Impuestos Internos. ⏎ Bases legales ⏎ Corresponde a una persona natural chilena o extranjera, que al momento de la postulación tenga cumplido, a lo menos, dieciocho años de edad, y sea fundador(a) o socio(a) de una persona jurídica extranjera que ejecuta un proyecto global (de base tecnológica) que utilice a Chile como plataforma. ⏎ Podrán postular personas jurídicas con fines de lucro, constituidas en Chile, que ejecuten un proyecto global (de base tecnológica) que utilice a Chile como plataforma, y que no tengan iniciación de actividades ante el Servicio de Impuestos Internos por un período superior a 36 meses contados hacia atrás desde la fecha de apertura de la respectiva convocatoria.
CONVOCATORIA CDPR METROPOLITANO 2026: SEMILLA INICIA;30/04/2026;29/05/2026;Metropolitana;https://www.corfo.gob.cl/sites/cpp/convocatoria/cdpr-metropolitano-semilla-inicia-2026/;Abiertas;Buscamos apoyar a emprendedores y emprendedoras que cuenten con proyectos de negocios de alto potencial de crecimiento, mediante el cofinanciamiento de actividades para la validación técnica y comercial del emprendimiento, además de acceso a servicios de apoyo para su implementación y desarrollo.;Personas naturales, mayores de 18 años, con residencia en Chile ⏎ Persona jurídica, constituida en Chile, que tengan menos de 18 meses de iniciación de actividades ante el Servicio de Impuestos Internos (SII), SIN VENTAS. ⏎ Bases legales
CONVOCATORIA CDPR METROPOLITANO 2026: SÚMATE A INNOVAR FOCO SOSTENIBLE;30/04/2026;01/07/2026;Metropolitana;https://www.corfo.gob.cl/sites/cpp/convocatoria/cdpr-metropolitano-sumate-a-innovar-foco-sostenible-2026/;Abiertas;Buscamos aumentar el desarrollo de soluciones innovadoras para resolver problemas y desafíos de productividad y competitividad de las empresas nacionales, a través de la vinculación con entidades colaboradoras.;Personas Jurídicas Constituidas en Chile ⏎ Personas Naturales mayores de 18 años que tributen en primera categoría ⏎ Bases legales ⏎ Haber transcurrido, a lo menos, 24 meses, contados desde la fecha de inicio de actividades en un giro empresarial de primera categoría, de conformidad con lo establecido en el artículo 20 de la Ley de Impuesto a la Renta D.L. 824, de 1974, el cual debe encontrarse vigente.
Convocatoria Viraliza Formación – CDPR Magallanes y Antártica Chilena – 2026;30/04/2026;08/06/2026;Magallanes;https://www.corfo.gob.cl/sites/cpp/convocatoria/viraliza-formacion-cdpr-magallanes-y-antartica-chilena-2026/;Abiertas;Buscamos desarrollar un programa de formación teórico-práctico presencial orientado a fortalecer las capacidades de innovación organizacional y la generación de nuevas unidades de negocio en emprendimientos dinámicos y Mipymes emergentes de la Región de Magallanes.;Pueden postular personas jurídicas constituidas o creadas en Chile, que tengan una antigüedad mínima de dos años al momento de la postulación, contados desde su creación. ⏎ Coejecutores y/o asociados deben ser personas jurídicas constituidas o creadas en Chile. ⏎ Bases legales ⏎ El programa de formación debe estar dirigido a un mínimo de 20 emprendimientos (si se postula al Programa Estratégico de Tierra del Fuego) y de 30 emprendimientos, si se postula un programa para el resto de las provincias de la Región, los cuales pueden ser: ⏎ a) Personas Naturales, mayores de 18 años, que cuenten con una idea de negocio o con un negocio en funcionamiento, y que estén en etapas previas a la formalización del emprendimiento (constitución de una persona jurídica con inicio de actividades en un giro de primera categoría, de conformidad a lo establecido en el artículo 20 de la Ley de Impuesto a la Renta, ante el Servicio de Impuestos Internos) a la fecha de postulación a la Convocatoria realizada por el Ejecutor. ⏎ b) Personas jurídicas constituidas en Chile, con inicio de actividades en giro de primera categoría, con una antigüedad máxima de 6 años y ventas anuales menores a $800.000.000.- (Ochocientos millones de pesos), interesadas en desarrollar nuevas líneas de negocio, mejorar su capacidad innovadora o integrarse a cadenas de valor regionales. ⏎ c) En ambos casos (letras a) y b) precedentes), los emprendimientos en etapa de idea, en funcionamiento o ya formalizados, deben ser innovadores y con potencial de alto crecimiento. ⏎ El programa de formación debe ser coherente y relacionado al segmento y características de los emprendedores que busquen atender.
Programa de Difusión Tecnológica Atacama 2026;30/04/2026;04/06/2026;Atacama;https://www.corfo.gob.cl/sites/cpp/convocatoria/pdt-atacama-2026/;Abiertas;Es un programa que busca contribuir al cierre de brechas de productividad del sector empresarial, de preferencia Pymes, de la región de Atacama, a través de la difusión de tecnologías y mejores prácticas innovadoras, con el propósito de fomentar su adopción y potenciar la competitividad de un grupo de empresas de una industria o sector que enfrentan una problemática común.;Personas jurídicas constituidas en Chile. ⏎ Personas naturales con, a lo menos, 18 años cumplidos al momento de postular, con giro empresarial de primera categoría. ⏎ Bases legales ⏎ Al momento de la postulación, se deberá cumplir con los siguientes requisitos: ⏎ Haber transcurrido, a lo menos, 24 meses, contados desde la fecha de inicio de actividades en un giro empresarial de primera categoría, de conformidad con lo establecido en el artículo 20 de la Ley de Impuesto a la Renta (D.L. 824, de 1974), el cual debe encontrarse vigente.
PROGRAMA DE DIFUSIÓN TECNOLÓGICA – REGIÓN DE TARAPACÁ 2026;29/04/2026;22/05/2026;Tarapacá;https://www.corfo.gob.cl/sites/cpp/convocatoria/pdt-tarapaca-2026/;Abiertas;Programa que busca contribuir al cierre de brechas de productividad del sector empresarial de la región de Tarapacá, a través de la difusión de tecnologías y mejores prácticas innovadoras, con el propósito de fomentar su adopción y potenciar a competitividad de un grupo de empresas de una industria o sector que enfrentan una problemática común.;Beneficiario o gestor: ⏎ – Personas jurídicas constituidas en Chile. ⏎ – Las sociedades de profesionales referidas en el artículo 42 N°2, de la Ley sobre Impuesto a la Renta, que hayan optado por declarar sus rentas de acuerdo con las normas de la primera categoría ⏎ – Personas naturales con, a lo menos, 18 años cumplidos al momento de postular. ⏎ Beneficiaria/o Atendida/o: ⏎ – Personas jurídicas constituidas en Chile. ⏎ – Personas naturales que, al momento de la postulación, tengan, a lo menos, 18 años cumplidos. ⏎ Bases legales ⏎ – La convocatoria se focalizará territorialmente en proyectos que se materialicen en la región de Tarapacá, y que hayan sido postulados por contribuyentes que tengan domicilio registrado ante el SII en la Región de Tarapacá. ⏎ – El beneficiario deberá poseer capacidades técnicas suficientes para ejecutar la mayor parte de las actividades planteadas, y demostrar también, capacidad financiera para ejecutar el programa.
FOCAL – REGIÓN DE COQUIMBO – 1° CONVOCATORIA 2026 AVANCE COLECTIVO;24/04/2026;25/05/2026;Coquimbo;https://www.corfo.gob.cl/sites/cpp/convocatoria/focal-coquimbo-1ra-convocatoria-avance-colectivo-2026/;Abiertas;Este programa tiene por objeto apoyar a las empresas en el mejoramiento de la productividad y competitividad, a través de un incentivo a la implementación y certificación de normas técnicas de sistemas de gestión y de productos o de protocolos, reconocidos por esta Corporación como habilitantes para acceder a mercados más sofisticados o de exportación.;Empresarios contribuyentes de actividades gravadas con Impuesto de Primera Categoría, que demuestren ventas netas anuales superiores a UF 1.200 y que no excedan las UF 100.000. ⏎ Empresas que vendan menos de UF 1.200 (mil doscientas Unidades de Fomento), que desarrollen actividades económicas clasificadas en los rubros agricultura y/o ganadería, y rubro turístico. ⏎ Bases legales ⏎ El concurso se focalizará territorialmente en proyectos que se materialicen en la Región de Coquimbo.
FOCAL – REGIÓN DE COQUIMBO – 1° CONVOCATORIA 2026 AVANCE INDIVIDUAL;24/04/2026;25/05/2026;Coquimbo;https://www.corfo.gob.cl/sites/cpp/convocatoria/focal-coquimbo-1ra-convocatoria-avance-individual-2026/;Abiertas;Este programa tiene por objeto apoyar a las empresas en el mejoramiento de la productividad y competitividad, a través de un incentivo a la implementación y certificación de normas técnicas de sistemas de gestión y de productos o de protocolos, reconocidos por esta Corporación como habilitantes para acceder a mercados más sofisticados o de exportación.;Empresarios contribuyentes de actividades gravadas con Impuesto de Primera Categoría, que demuestren ventas netas anuales superiores a UF 1.200 y que no excedan las UF 100.000. ⏎ Empresas que vendan menos de UF 1.200 (mil doscientas Unidades de Fomento), que desarrollen actividades económicas clasificadas en los rubros agricultura y/o ganadería, y rubro turístico. ⏎ Bases legales ⏎ El concurso se focalizará territorialmente en proyectos que se materialicen en la Región de Coquimbo
BIENES PÚBLICOS – REGIÓN DE LOS LAGOS – TURISMO NÁUTICO PATAGONIA COSTA;15/04/2026;16/06/2026;Los Lagos;https://www.corfo.gob.cl/sites/cpp/convocatoria/bienes-publicos-los-lagos-turismo-nautico-patagonia-costa-2026/;Abiertas;Para abordar distintos desafíos asociados a la falta de información de aplicación productiva que permita tomar decisiones en ciertos sectores y recursos estratégicos, Corfo dispone del instrumento Bienes Públicos, cuyo objetivo es apoyar el desarrollo de bienes públicos para la competitividad, orientados a resolver fallas de mercado (de coordinación y/o asimetrías de información), con la finalidad de fortalecer la competitividad, diversificar la economía y/o aumentar la productividad.;Persona Jurídicas constituidas en Chile. ⏎ Bases legales ⏎ El proyecto debe contar con un Mandante distinto al postulante (Ministerios, Agencias de Estado, Entidades Gremiales, Gobiernos Regionales, Municipalidades, Entidades Internacionales, Empresas Públicas, u otros).
DESARROLLA INVERSIÓN PRODUCTIVA – REGIÓN DE ATACAMA – CONV. 2026 PRODUCTORES DE PISCO Y PAJARETE;08/04/2026;No informado;Atacama;https://www.corfo.gob.cl/sites/cpp/convocatoria/dip-atacama-productores-de-pisco-y-pajarete-2026/;Abiertas;El objeto de esta línea de apoyo es apoyar la materialización de proyectos de inversión productiva, con un potencial de generar externalidades positivas, mediante el otorgamiento de un cofinanciamiento para la adquisición de activos fijos, habilitación de infraestructura productiva y capital de trabajo;Contribuyentes con inicio de actividades, que tributen en primera categoría. ⏎ Bases legales ⏎ Se focalizará territorialmente en proyectos que se ejecuten en la Región de Atacama. ⏎ Se focalizará temáticamente en proyectos de rubros relacionados con la producción de pisco, vino y/o pajarete.
BIENES PÚBLICOS – REGIÓN METROPOLITANA – CONVOCATORIA 2026 CDPR;06/03/2026;15/05/2026;Metropolitana;https://www.corfo.gob.cl/sites/cpp/convocatoria/bienes-publicos-metropolitana-cdpr-2026/;Abiertas;Buscamos proyectos que contribuyan a resolver fallas de mercado relevantes (de coordinación y/o asimetrías de información) que contribuyan a fortalecer la competitividad, diversificar la economía y/o aumentar la productividad en un sector y/o industria de la Región Metropolitana.;Beneficiarios: Personas Jurídicas constituidas en Chile, públicas o privadas. ⏎ De manera obligatoria, el proyecto debe contar con al menos un Mandante distinto al postulante (Ministerios, Agencias de Estado, Entidades Gremiales, Gobiernos Regionales, Municipalidades, Entidades Internacionales, Empresas Públicas, u otros). ⏎ Bases legales ⏎ Focalización Territorial: La convocatoria se focalizará territorialmente en la Región Metropolitana de Santiago, debiendo ejecutarse los proyectos en dicha región. ⏎ Focalización Temática: La presente focalización se enmarca en el lineamiento estratégico del Comité de Desarrollo Productivo Regional Metropolitano de Santiago, específicamente en el eje Emprendimiento orientado a ciudades inteligentes y encadenamientos productivos. Este eje busca fortalecer el ecosistema emprendedor y pyme regional con enfoque territorial, impulsando emprendimientos dinámicos y creativos, la innovación aplicada a ciudades inteligentes, el desarrollo de capital humano y la consolidación de encadenamientos productivos inclusivos que retengan valor y generen oportunidades locales sostenibles.
CDPR METROPOLITANO 2026: SÚMATE A INNOVAR FOCO MUJERES;06/03/2026;07/05/2026;Metropolitana;https://www.corfo.gob.cl/sites/cpp/convocatoria/cdpr-metropolitan-sumate-a-innovar-foco-mujeres-2026/;Abiertas;Aumentar el desarrollo de soluciones innovadoras para resolver problemas y desafíos de productividad y competitividad de las empresas nacionales, a través de la vinculación con entidades colaboradoras.;Personas jurídicas constituidas en Chile. ⏎ Personas naturales, de género femenino que, al momento de postular, tengan, a lo menos, 18 años de edad cumplidos. ⏎ Bases legales ⏎ Haber transcurrido, a lo menos, 24 meses, contados desde la fecha de inicio de actividades en un giro empresarial de primera categoría, de conformidad con lo establecido en el artículo 20 de la Ley de Impuesto a la Renta D.L. 824, de 1974, el cual debe encontrarse vigente.
ACTIVA RIEGO – REGIÓN DE ÑUBLE – TIPO EXTRAPREDIAL 2026;03/03/2026;08/05/2026;Ñuble;https://www.corfo.gob.cl/sites/cpp/convocatoria/activa-riego-nuble-tipo-extrapredial-2026/;Abiertas;Buscamos apoyar la formulación de proyectos de riego , para identificar alternativas de inversión y evaluarlas técnica, económica y financieramente.;Organizaciones de usuarios reguladas en el Código de Aguas. ⏎ Bases legales ⏎ Organizaciones de usuarios reguladas en el Código de Aguas, incluidas las comunidades no organizadas que hayan iniciado su proceso de constitución.
ACTIVA RIEGO – REGIÓN DE ÑUBLE – TIPO INTRAPREDIAL 2026;03/03/2026;08/05/2026;Ñuble;https://www.corfo.gob.cl/sites/cpp/convocatoria/activa-riego-nuble-tipo-intrapredial-2026/;Abiertas;Buscamos apoyar la formulación de proyectos de riego intraprediales, para identificar alternativas de inversión y evaluarlas técnica, económica y financieramente.;El postulante es contribuyente que desarrolle actividades gravadas con el Impuesto de Primera Categoría de la ley de Impuesto a la Renta, según lo establecido en el articulo 20 del D.L N° 824, de 1974, verificable con la información disponible en el sitio web del servicio de Impuestos Internos (SII). ⏎ Bases legales ⏎ 1. Contribuyentes que sean propietarios, usufructuarios, poseedores inscritos o meros tenedores en proceso de regularización de títulos de predios agrícolas. ⏎ 2. Contribuyentes que sean arrendatarios de predios agrícolas y aquellos que hayan celebrado un contrato de arriendo con opción de compra o leasing, siempre y cuando, cumplan con los requisitos determinados por la Ley N° 20.284, que modifica la Ley N° 18.450.
