nombre;fecha_inicio;fecha_cierre;region;link;estado;descripcion_corta;requisitos
RED ASOCIATIVA – REGIÓN DE ÑUBLE – ETAPA DIAGNÓSTICO 2026;03/03/2026;08/05/2026;Ñuble;https://www.corfo.gob.cl/sites/cpp/convocatoria/red-asociativa-nuble-etapa-diagnostico-2026/;Abiertas;El Programa Red Asociativa permite participar junto a otras Empresas para mejorar su oferta de valor y acceder a nuevos mercados, a través del Programa RED Asociativa te apoyamos con asesoría experta para abordar oportunidades de mercado y de mejoramiento tecnológico, desarrollando estrategias de negocios colaborativos, de acuerdo a las características productivas del grupo de empresas.;Personas naturales o jurídicas, que tributen en 1ra categoría, con rango de ventas entre 2.400 UF y 600.000 UF. ⏎ En un proyecto, se podrán incorporar beneficiarios de un menor nivel de ventas al señalado, los que, en conjunto, no deberán exceder el 50% del número total de éstos. En todo momento, estos proyectos deberán estar integrados por, al menos, 3 beneficiarios. ⏎ Bases legales ⏎ Focalización territorial: La convocatoria se focalizará territorialmente en la Región de Ñuble, debiendo los proyectos ejecutarse en la Región de Ñuble. ⏎ Focalización temática: El llamado a la ⏎ convocatoria se encontrará focalizado temáticamente en propuestas que, además de ser coherentes con los objetivos del instrumento de financiamiento, se encuentren enmarcados en, a lo menos, uno de los siguientes sectores productivos: ⏎ • Agroindustria ⏎ • Turismo, Cultura y/o Patrimonio
RED GTT+ – REGIÓN DE ÑUBLE – ETAPA DIAGNÓSTICO 2026;03/03/2026;08/05/2026;Ñuble;https://www.corfo.gob.cl/sites/cpp/convocatoria/red-gtt-nuble-etapa-diagnostico-2026/;Abiertas;Red Tecnológica GTT+ busca que grupos de entre 10 y 15 empresas puedan, a través del intercambio entre pares y asistencias técnicas, cerrar brechas tecnológicas y de gestión, incorporando herramientas y mejores prácticas productivas, fomentando la construcción de alianzas entre los empresarios para ampliar el capital relacional, mejorar su productividad y posición competitiva.;Personas naturales o jurídicas, deberán tener giro del sector silvoagropecuario, (según la clasificación de actividades del Servicios de Impuestos Internos – SII), y deberán demostrar, en forma individual, ventas netas anuales entre UF 2.400.- (dos mil cuatrocientas Unidades de Fomento) y UF 600.000.- (seiscientas mil Unidades de Fomento). ⏎ En un proyecto, se podrán incorporar beneficiarios de un menor nivel de ventas al señalado, los que, en conjunto, no deberán exceder el 50% del número total de éstos. En todo momento, estos proyectos deberán estar integrados por, al menos, 3 beneficiarios. ⏎ Bases legales ⏎ Focalización territorial: La convocatoria se focalizará territorialmente en la Región de Ñuble, debiendo los proyectos ejecutarse en la Región de Ñuble. ⏎ Focalización temática: El llamado a la convocatoria se encontrará focalizado temáticamente en propuestas que, además de ser coherentes con los objetivos del instrumento de financiamiento, se encuentren enmarcado en el sector productivo Silvoagropecuario.
RED MERCADOS – REGIÓN DE ÑUBLE – ETAPA DIAGNÓSTICO 2026;03/03/2026;08/05/2026;Ñuble;https://www.corfo.gob.cl/sites/cpp/convocatoria/red-mercados-nuble-etapa-diagnostico-2026/;Abiertas;El Programa Red Mercados busca apoyar a un grupo de empresas a acceder y usar información de mercado, relevante para el proceso de exportación transfiriendo técnicas y prácticas productivas para la adecuación de la oferta a los requerimientos de la demanda incorporando el conocimiento y requerimiento para implementar procesos de comercialización hacia y en los mercados de destino.;"Empresas, personas naturales o jurídicas, que tributen en primera categoría, con ventas anuales entre 2.400 UF y 100.000 UF. ⏎ No acceder habitualmente a mercados de exportación. ⏎ Hasta 50% de las empresas postulantes podrá tener ventas menores a 2.400 UF. ⏎ Empresas postulantes deben realizar Test Exportador: ⏎ https://acortar.link/4VAwHp ⏎ Bases legales ⏎ Focalización territorial: La convocatoria se focalizará territorialmente en la Región de Ñuble, debiendo los proyectos ejecutarse en la Región de Ñuble. ⏎ Focalización temática será para los siguientes sectores productivos; Forestal, Maderero, Silvoagropecuario, Agroindustria, Turismo, Cultura, Patrimonio y Economía Creativa."
PROGRAMA DE DIFUSIÓN TECNOLÓGICA – PROVINCIAS CHILOÉ Y/O PALENA – REGIÓN DE LOS LAGOS;02/03/2026;19/05/2026;Los Lagos;https://www.corfo.gob.cl/sites/cpp/convocatoria/pdt-chiloe-palena-los-lagos-2026/;Abiertas;Contribuir al cierre de brechas de productividad del sector empresarial, de preferencia Pymes, a través de la difusión de tecnologías y mejores prácticas innovadoras, con el propósito de fomentar su adopción y potenciar la competitividad de un grupo de empresas de una industria o sector que enfrentan una problemática común.;"Personas jurídicas constituidas en Chile. ⏎ Personas naturales con, a lo menos, 18 años cumplidos al momento de postular. ⏎ Bases legales ⏎ Además, al momento de la postulación, en relación con el beneficiario, se deberá cumplir con los siguientes requisitos: ⏎ Haber transcurrido, a lo menos, 24 meses, contados desde la fecha de inicio de actividades primera categoría, de conformidad con lo establecido en el artículo 20 de la Ley de Impuesto a la Renta (D.L. 824, de 1974), y que mantenga al menos un giro vigente de primera categoría. En el caso de las sociedades de profesionales, los 24 meses se contarán desde que hayan ejercido la opción de declarar sus rentas de acuerdo con las normas de la primera categoría o desde el inicio de actividades, y; ⏎ Acreditar ingresos por ventas dentro de los 24 meses previos a la postulación (no necesariamente en todos los meses). ⏎ El beneficiario deberá poseer capacidades técnicas suficientes para ejecutar la mayor parte de las actividades planteadas, lo que será evaluado por InnovaChile. Asimismo, el beneficiario deberá demostrar capacidad financiera para ejecutar el programa."
PROGRAMA DE DIFUSIÓN TECNOLÓGICA – PROVINCIAS OSORNO Y/O LLANQUIHUE – REGIÓN DE LOS LAGOS;02/03/2026;19/05/2026;Los Lagos;https://www.corfo.gob.cl/sites/cpp/convocatoria/pdt-osorno-llanquihue-los-lagos-2026/;Abiertas;Contribuir al cierre de brechas de productividad del sector empresarial, de preferencia Pymes, a través de la difusión de tecnologías y mejores prácticas innovadoras, con el propósito de fomentar su adopción y potenciar la competitividad de un grupo de empresas de una industria o sector que enfrentan una problemática común.;"Personas jurídicas constituidas en Chile. ⏎ Personas naturales con, a lo menos, 18 años cumplidos al momento de postular. ⏎ Bases legales ⏎ Además, al momento de la postulación, en relación con el beneficiario, se deberá cumplir con los siguientes requisitos: ⏎ Haber transcurrido, a lo menos, 24 meses, contados desde la fecha de inicio de actividades primera categoría, de conformidad con lo establecido en el artículo 20 de la Ley de Impuesto a la Renta (D.L. 824, de 1974), y que mantenga al menos un giro vigente de primera categoría. En el caso de las sociedades de profesionales, los 24 meses se contarán desde que hayan ejercido la opción de declarar sus rentas de acuerdo con las normas de la primera categoría o desde el inicio de actividades, y; ⏎ Acreditar ingresos por ventas dentro de los 24 meses previos a la postulación (no necesariamente en todos los meses). ⏎ El beneficiario deberá poseer capacidades técnicas suficientes para ejecutar la mayor parte de las actividades planteadas, lo que será evaluado por InnovaChile. Asimismo, el beneficiario deberá demostrar capacidad financiera para ejecutar el programa."
FOCAL – REGIÓN DE LOS LAGOS – CONVOCATORIA PROVINCIAS CHILOÉ Y/O PALENA, AVANCE INDIVIDUAL 2026;19/02/2026;07/05/2026;Los Lagos;https://www.corfo.gob.cl/sites/cpp/convocatoria/focal-region-de-los-lagos-convocatoria-provincias-chiloe-y-o-palena-avance-individual-2026/;Abiertas;Este programa tiene por objeto apoyar a las empresas en el mejoramiento de la productividad y competitividad, a través de un incentivo a la implementación y certificación de normas técnicas de sistemas de gestión y de productos o de protocolos, reconocidos por esta Corporación como habilitantes para acceder a mercados sofisticados y/o de exportación.;Empresarios contribuyentes de actividades gravadas con Impuesto de Primera Categoría, incluidas las Cooperativas que demuestren ventas netas anuales superiores a 1.200 UF y que no excedan las 100.000 UF. ⏎ Los proyectos individuales que se presenten deberán operar en modalidad de avance individual. ⏎ Bases legales ⏎ Podrán ser beneficiarios de este instrumento contribuyentes que vendan menos de 1.200 UF, que desarrollen actividades económicas clasificadas en rubros agricultura y ganadería y aquellas del rubro turístico. Estas últimas deberán estar registradas en Registro Nacional de prestadores Turísticos. ⏎ El proyecto presentado por el postulante, deberá orientarse a implementar y certificar normas que aporten a la Competitividad Regional Sostenible con énfasis en Economía Circular en la región en las empresas de la Región de Los Lagos, entendiendo por tales normas aquellas establecidas en la resolución de focalización del concurso.
FOCAL – REGIÓN DE LOS LAGOS – CONVOCATORIA PROVINCIAS OSORNO Y/O LLANQUIHUE, AVANCE INDIVIDUAL 2026;19/02/2026;07/05/2026;Los Lagos;https://www.corfo.gob.cl/sites/cpp/convocatoria/focal-region-de-los-lagos-convocatoria-provincias-osorno-y-o-llanquihue-avance-individual-2026/;Abiertas;Este programa tiene por objeto apoyar a las empresas en el mejoramiento de la productividad y competitividad, a través de un incentivo a la implementación y certificación de normas técnicas de sistemas de gestión y de productos o de protocolos, reconocidos por esta Corporación como habilitantes para acceder a mercados sofisticados y/o de exportación.;Empresarios contribuyentes de actividades gravadas con Impuesto de Primera Categoría, incluidas las Cooperativas que demuestren ventas netas anuales superiores a 1.200 UF y que no excedan las 100.000 UF. ⏎ Los proyectos individuales que se presenten deberán operar en modalidad de avance individual. ⏎ Bases legales ⏎ Podrán ser beneficiarios de este instrumento contribuyentes que vendan menos de 1.200 UF, que desarrollen actividades económicas clasificadas en rubros agricultura y ganadería y aquellas del rubro turístico. Estas últimas deberán estar registradas en Registro Nacional de prestadores Turísticos. ⏎ El proyecto presentado por el postulante, deberá orientarse a implementar y certificar normas que aporten a la Competitividad Regional Sostenible con énfasis en Economía Circular en la región en las empresas de la Región de Los Lagos, entendiendo por tales normas aquellas establecidas en la resolución de focalización del concurso.
DESARROLLA INVERSIÓN PRODUCTIVA – REGIÓN METROPOLITANA – FOCO DESCARBONIZACIÓN 2026 CDPR;18/02/2026;15/05/2026;Metropolitana;https://www.corfo.gob.cl/sites/cpp/convocatoria/desarrolla-inversion-productiva-region-metropolitana-foco-descarbonizacion-2026/;Abiertas;Apoyo a proyectos de inversión productiva con foco en descarbonización y con potencial de generación de externalidades positivas mediante un cofinanciamiento para la adquisición de activo fijo, infraestructura y capital de trabajo.;Beneficiarios: Contribuyentes que desarrollen actividades gravadas con el Impuesto de Primera Categoría de la Ley de Impuesto a la Renta, según lo establecido en el artículo 20 del D.L. N°824, de 1974, certificable con la información disponible en el sitio web del Servicio de Impuesto Internos (SII) ⏎ Personas naturales o Jurídicas contribuyentes de primera categoría, que contemplen una inversión total igual o superior a $12.000.000. ⏎ Bases legales ⏎ Focalización Territorial: La convocatoria se focalizará territorialmente en la Región Metropolitana de Santiago, debiendo ejecutarse los proyectos en dicha región. ⏎ Focalización temática: ⏎ La focalización temática corresponde al eje “Desarrollo Productivo Sostenible y Economía Circular” (ver Anexo N°1) ⏎ Se buscará el apoyo preferente a proyectos de inversión productiva que contemplen, al menos, uno de los siguientes enfoques: ⏎ • Sustitución de fuentes energéticas fósiles por energías renovables no convencionales (solar, eólica, biomasa, geotermia, entre otras). ⏎ • Eficiencia energética avanzada, mediante modernización tecnológica, reconversión de equipamiento productivo o digitalización de procesos que reduzcan el consumo energético por unidad producida. ⏎ • Electrificación de procesos productivos, reemplazando tecnologías intensivas en combustibles fósiles. ⏎ • Economía circular aplicada a la reducción de emisiones, incluyendo reutilización de residuos, valorización energética y optimización de recursos.
DESARROLLA INVERSIÓN PRODUCTIVA – REGIÓN METROPOLITANA – FOCO TURISMO 2026 CDPR;18/02/2026;15/05/2026;Metropolitana;https://www.corfo.gob.cl/sites/cpp/convocatoria/desarrolla-inversion-productiva-region-metropolitana-foco-turismo-2026/;Abiertas;Apoyo a proyectos de inversión productiva con foco en turismo y con potencial de generación de externalidades positivas mediante un cofinanciamiento para la adquisición de activo fijo, infraestructura y capital de trabajo.;Beneficiarios: Contribuyentes que desarrollen actividades gravadas con el Impuesto de Primera Categoría de la Ley de Impuesto a la Renta, según lo establecido en el artículo 20 del D.L. N°824, de 1974, certificable con la información disponible en el sitio web del Servicio de Impuesto Internos (SII) ⏎ Personas naturales o Jurídicas contribuyentes de primera categoría, que contemplen una inversión total igual o superior a $12.000.000. ⏎ Bases legales ⏎ Focalización Territorial: La convocatoria se focalizará territorialmente en la Región Metropolitana de Santiago, debiendo ejecutarse los proyectos en dicha región. ⏎ Focalización temática: ⏎ La focalización temática corresponde al eje “Turismo inteligente y sostenible” (ver Anexo N°1) ⏎ Se buscará apoyar proyectos que permitan dinamizar el turismo, potenciando capilaridad de la cadena de valor, fortaleciendo la oferta del turismo desde una mirada de turismo inteligente, sostenible en sus distintas tipologías (Montaña, Enoturismo, Rural, Urbano y Mice) poniendo en valor el patrimonio natural, cultural y urbano de la región, aportando a la competitividad del sector.
RED PROVEEDORES – REGIÓN METROPOLITANA – ETAPA DESARROLLO 2026 CDPR;18/02/2026;No informado;Metropolitana;https://www.corfo.gob.cl/sites/cpp/convocatoria/red-proveedores-region-metropolitana-etapa-desarrollo-2026/;Abiertas;Si tienes interés en fortalecer tu cadena productiva, promoviendo el trabajo colaborativo con proveedores actuales o nuevos, fortaleciendo la relación estratégica Proveedores – Demandante, para mejorar la oferta de valor y el acceso a nuevos mercados, te invitamos a postular a Red Proveedores.;El proyecto debe ser postulado por la empresa demandante. Esta debe ser una persona natural o jurídica, que tribute en primera categoría y que demuestre ventas sobre las 25.000 UF. ⏎ Empresa Demandante Co-Ejecutora: una o más empresas privadas y/o empresas públicas, sociedades en las que el Estado o un órgano de la administración del Estado tenga participación, que demuestren de forma individual, ventas netas anuales superiores a UF 25.000. Esta empresa deberá desempeñarse en el mismo ámbito de la Empresa Demandante, o en una actividad complementaria, y ser parte de la cadena productiva. (ver excepcionalidad regional en las Bases REDES). ⏎ Bases legales ⏎ Empresa Demandante: con ventas netas anuales superiores a UF 25.000. Para regiones que presenten un índice de pobreza igual o mayor al 15%, podrán ser beneficiarias aquellas que demuestren ventas netas anuales superiores a las UF 10.000. Así también, en aquellas regiones en las que el universo de empresas con ventas netas anuales sobre las UF25.000 sea inferior a 500, podrán ser Empresas Demandantes aquellas que demuestren ventas netas anuales superiores a las UF 10.000. ⏎ Empresa Proveedora: un proyecto deberá reunir, durante toda su ejecución, al menos 5 Empresas Proveedoras. Serán proveedoras las empresas, personas naturales o jurídicas, que abastecen o puedan abastecer bienes y/o servicios necesarios en la cadena de producción y/o en los canales de distribución de una Empresa Demandante. Deberán demostrar, de forma individual, ventas netas anuales que no excedan de UF 100.000. En cada proyecto se podrán incorporar Empresas Proveedoras con un mayor nivel de ventas al señalado, las que, en conjunto, no podrán exceder el 30% del total de Empresas Proveedoras participantes. ⏎ Focalización Territorial: La convocatoria se focalizará territorialmente en la Región Metropolitana de Santiago, debiendo ejecutarse los proyectos en dicha región. ⏎ Focalización Temática: corresponde a la materialización de proyectos que se encuentren alineados al eje “Emprendimiento orientado a ciudades inteligentes y encadenamientos productivos”, buscando fortalecer el ecosistema emprendedor y pyme regional, con enfoque territorial, impulsando emprendimientos dinámicos y creativos, innovación aplicada a ciudades inteligentes, capital humano y encadenamientos productivos inclusivos que retengan valor y generen oportunidades locales. (ver Anexo N°1)
PAR – REGIÓN DE ATACAMA – 2° CONVOCATORIA INDUSTRIAS CREATIVAS 2026;09/02/2026;31/12/2026;Atacama;https://www.corfo.gob.cl/sites/cpp/convocatoria/par-region-de-atacama-2-convocatoria-industrias-creativas-2026/;Abiertas;El objetivo de esta línea es mejorar el potencial productivo y fortalecer la gestión de las empresas y/o emprendedores de un territorio, apoyando el desarrollo de sus competencias, capacidades y cofinanciando proyectos de inversión, que les permitan acceder a nuevas oportunidades de negocios y/o a mantener los existentes.;Podrán ser beneficiarios los contribuyentes de primera categoría Ley de Impueto a la Renta con ventas anuales de entre UF 200 y hasta UF 10.000. ⏎ Emprendedores sin inicio de actividades ante el SII, podrán postular, en la medida que su proyección de ventas cumpla con los niveles de ventas requeridos, quienes no podrán superar en su conjunto el 30% del total de participantes del Proyecto PAR. ⏎ Bases legales ⏎ Se focalizará territorialmente en la Región de Atacama, debiendo, los postulantes, tener domicilio tributario registrado ante el Servicio de Impuestos Internos-SII en esta región y los proyectos deberán ejecutarse en la misma. ⏎ Se focalizará temáticamente en proyectos de rubros relacionados con el sector de industrias creativas.
IFNB – PROGRAMA DE FORTALECIMIENTO PARA INSTITUCIONES FINANCIERAS NO BANCARIAS, 1° CONV. 2026;06/02/2026;30/06/2026;Todo Chile;https://www.corfo.gob.cl/sites/cpp/convocatoria/ifnb-programa-de-fortalecimiento-para-instituciones-financieras-no-bancarias-1-conv-2026/;Abiertas;El Programa PRO IFNB tiene como objetivo mejorar la gestión financiera y de negocio de IFNB, optimizando su perfil de riesgo y mejorando las condiciones y oportunidades de acceso de las micro, pequeña y medianas empresas a sus servicios financieros.;Ejecutor Directo ⏎ Beneficiario Atendido ⏎ Bases legales ⏎ Ejecutor Directo ⏎ Será el encargado de realizar el proceso de asistencia técnica a la IFNB. ⏎ Podrán postular como beneficiario o ejecutor directo las personas jurídicas, constituidas en Chile, que al momento de la postulación tengan a lo menos 2 años de antigüedad contados desde su fecha de constitución y que cumplan con los demás requisitos establecidos en las BAG. ⏎ Beneficiario Atendido ⏎ Será quien reciba la asistencia técnica por parte del Ejecutor directo. ⏎ Podrán ser beneficiarios atendidos: Cooperativas de Ahorro y Crédito (CAC), cooperativas agrícolas de importancia económica, Cooperativas agrícolas, campesinas, y otras Instituciones financieras definidas en las bases.
CONVOCATORIA 2026 PROGRAMA DE DIFUSIÓN TECNOLÓGICA REGIÓN DE LA ARAUCANÍA;28/01/2026;15/05/2026;La Araucanía;https://www.corfo.gob.cl/sites/cpp/convocatoria/programa-de-difusion-tecnologica-region-de-la-araucania-2026/;Abiertas;Queremos mejorar el acceso al conocimiento, tecnologías y mejores prácticas “prospectadas” para un conjunto de empresas, de preferencia Pymes de la region de La Araucanía, a través de actividades de difusión y transferencia tecnológica que aporten valor al desempeño productivo y a la competitividad de las empresas (Revisar resolución (E) de focalización N°5-2026 adjunta).;"Beneficiario o gestor ⏎ Bases legales ⏎ Personas jurídicas constituidas en Chile. ⏎ Las sociedades de profesionales referidas en el artículo 42 N°2, de la Ley sobre Impuesto a la Renta, que hayan optado por declarar sus rentas de acuerdo con las normas de la primera categoría. ⏎ Personas naturales con, a lo menos, 18 años cumplidos al momento de postular. ⏎ Focalización temática: ⏎ • Turismo ⏎ • Agroindustrial ⏎ • Silvoagropecuario ⏎ • Construcción ⏎ • Pesca artesanal y Acuicultura ⏎ • Industrias emergentes; son sectores económicos que están en desarrollo y que tienenel potencial de generar un impacto significativo en la economía y la sociedad. Secaracterizan por su innovación, rápida evolución y adopción de nuevas tecnologías"
Capital Humano para la Innovación;18/11/2025;28/05/2026;Todo Chile;https://www.corfo.gob.cl/sites/cpp/convocatoria/capital-humano-para-la-innovacion-2025/;Abiertas;Buscamos contribuir al fortalecimiento de capacidades en I+D+i en las empresas nacionales, a través de la inserción de profesionales y técnicos/as de nivel superior, altamente calificados, para su participación en el desarrollo de soluciones que aborden desafíos productivos y/o competitivos que requieran de actividades de I+D+i, con la finalidad de aumentar la productividad y competitividad de dichas empresas.;Personas jurídicas constituidas en Chile. ⏎ Personas naturales que, al momento de postular, tengan cumplidos, a lo menos, 18 años de edad. ⏎ Bases legales ⏎ Al momento de la postulación, en relación con el beneficiario, se deberá cumplir con los siguientes requisitos: ⏎ ▪ Haber transcurrido, a lo menos, 18 meses, contados desde la fecha de inicio de actividades en un giro empresarial de primera categoría, de conformidad con lo establecido en el artículo 20 de la Ley de Impuesto a la Renta (D.L. 824, de 1974), el cual debe encontrarse vigente. ⏎ ▪ Acreditar ingresos por ventas dentro de los 18 meses previos a la postulación (no necesariamente en todos los meses). ⏎ Las instituciones de educación superior (universidades, institutos profesionales y centros de formación técnica), no podrán participar en calidad de beneficiario, y sólo podrán participar como entidades contratadas por el beneficiario para la ejecución de actividades externalizadas del proyecto.
Programa de Absorción Tecnológica para la Innovación;18/11/2025;No informado;Todo Chile;https://www.corfo.gob.cl/sites/cpp/convocatoria/programa-de-absorcion-tecnologica-para-la-innovacion-2025/;Abiertas;Busca contribuir a mejorar las capacidades de innovación sistemática en un conjunto de empresas, de preferencia Pymes, mediante el fortalecimiento de las capacidades de absorción tecnológica, cofinanciando la incorporación de nuevo conocimiento, mejores prácticas y/o tecnologías.;Podrán postular como beneficiario o gestor: ⏎ ▪ Personas jurídicas constituidas en Chile. ⏎ ▪ Las sociedades de profesionales referidas en el artículo 42, N°2, de la Ley sobre Impuesto a la Renta, que hayan optado por declarar sus rentas de acuerdo con las normas de la primera categoría. ⏎ ▪ Personas naturales que, al momento de postular, tengan, a lo menos, 18 años cumplidos. ⏎ Bases legales ⏎ Al momento de la postulación, en relación con el beneficiario o gestor, se deberá cumplir con los siguientes requisitos: ⏎ ▪ Haber transcurrido, a lo menos, 24 meses, contados desde la fecha de inicio de actividades en primera categoría, de conformidad con lo establecido en la Ley de Impuesto a la Renta (D.L. 824, de 1974), el cual debe encontrarse vigente. En el caso de las sociedades de profesionales, los 24 meses se contarán desde que hayan ejercido la opción de declarar sus rentas de acuerdo con las normas de la primera categoría o desde el inicio de actividades. ⏎ ▪ Acreditar ingresos por ventas dentro de los 24 meses previos a la postulación (no necesariamente en todos los meses).
Entidades Patrocinadoras para Semilla Inicia y Semilla Expande;01/08/2024;No informado;Todo Chile;https://www.corfo.gob.cl/sites/cpp/convocatoria/entidades_patrocinadoras_para_semilla_inicia_y_semilla_expande/;Abiertas;El presente instrumento tiene por objetivo regular la incorporación de determinadas entidades a la “Nómina de Entidades Patrocinadoras para Semilla Inicia” y a la “Nómina de Entidades Patrocinadoras para Semilla Expande”, respectivamente, así como sus obligaciones y el proceso de evaluación periódica de las mismas durante la ejecución de los proyectos. Las referidas nóminas, además, habilitarán a las Entidades Patrocinadoras en ellas incorporadas, para apoyar proyectos ejecutados en el contexto de los instrumentos de financiamiento “Semilla Inicia para Empresas Lideradas por Mujeres” y “Semilla Expande para Empresas Lideradas por Mujeres”, respectivamente.;Personas jurídicas constituida o creada en Chile ⏎ Contar con una antigüedad mínima de dos años al momento de la postulación a la convocatoria. ⏎ Declarar disponer de una capacidad financiera suficiente que le permita obtener directamente y hacer entrega de los documentos de garantía exigidos por Corfo, para la entrega del cofinanciamiento de cada proyecto a patrocinar. ⏎ Poseer experiencia suficiente en el desarrollo de operaciones y actividades relacionadas con el apoyo a emprendedores(as), tales como aspectos de gestión, ventas, comercialización, contabilidad, aspectos legales, levantamiento de financiamiento privado, entre otros relevantes para el correcto desarrollo de un emprendimiento.
Innova Alta Tecnología – Eureka;11/07/2024;No informado;Todo Chile;https://www.corfo.gob.cl/sites/cpp/convocatoria/innova_alta_tecnologia_eureka/;Abiertas;Apoyamos innovaciones intensivas en I+D, que enfrenten alta incertidumbre tecnológica y que apunten a escalamientos de alto potencial de comercialización nacional o global, fortaleciendo las capacidades de I+D+i en las empresas.;Podrán postular como beneficiarios personas jurídicas constituidas en Chile. ⏎ Bases legales ⏎ Además, al momento de la postulación, en relación con el beneficiario, se deberá cumplir con los siguientes requisitos: ⏎ Haber transcurrido, a lo menos, 3 años, contados desde la fecha de inicio de actividades en un giro empresarial de primera categoría, de conformidad con lo establecido en el artículo 20 de la Ley de Impuesto a la Renta (D.L. 824, de 1974), el cual debe encontrarse vigente. ⏎ Acreditar ingresos por ventas dentro de los 3 años previos a la postulación (no necesariamente en todos los meses).
