nombre;fecha_inicio;fecha_cierre;region;link;requisitos
CAPITAL SEMILLA EMPRENDE PROVINCIA DE CONCEPCION;29/04/2026;13/05/2026;Biobío;https://www.sercotec.cl/convocatoria/capital-semilla-emprende-region-del-biobio-concepcion-2026/;Emprendedores y emprendedoras mayores de edad (igual o mayor a 18 años), sin inicio de actividades en primera categoría ante el Servicio de Impuestos Internos, que presenten un proyecto de negocio que cumpla con el foco definido por la convocatoria de Sercotec en su región, según lo señalado en las bases de postulación. ⏎ Para postular, la persona no puede tener deudas laborales, previsionales ni tributarias, y no debe figurar en el Registro Nacional de Deudores de Pensiones de Alimentos. Tampoco puede tener participación mayor al 50% en cualquier tipo de sociedad o empresa (de primera categoría ante el SII) y/o una empresa Individual de Responsabilidad Limitada (EIRL), previamente existente al inicio de la convocatoria. ⏎ ¿Cómo postular? ⏎ Paso 1.- Registrarse como usuario o usuaria de Sercotec. ⏎ Paso 2.- Descargar y leer detenidamente las bases y anexos de la convocatoria. ⏎ Paso 3.- Completar el formulario de postulación, para lo cual se debe responder un test de preselección y enviar un video de presentación junto con los documentos requeridos, verificando que cumplan con el formato y contenido solicitados, en el plazo establecido. ⏎ El número estimado de postulantes que serán beneficiarios y beneficiarias de esta convocatoria es de 26 a nivel territorial.
CAPITAL SEMILLA EMPRENDE PROVINCIA DE ARAUCO;29/04/2026;13/05/2026;Biobío;https://www.sercotec.cl/convocatoria/capital-semilla-emprende-region-del-biobio-arauco-2026/;Emprendedores y emprendedoras mayores de edad (igual o mayor a 18 años), sin inicio de actividades en primera categoría ante el Servicio de Impuestos Internos, que presenten un proyecto de negocio que cumpla con el foco definido por la convocatoria de Sercotec en su región, según lo señalado en las bases de postulación. ⏎ Para postular, la persona no puede tener deudas laborales, previsionales ni tributarias, y no debe figurar en el Registro Nacional de Deudores de Pensiones de Alimentos. Tampoco puede tener participación mayor al 50% en cualquier tipo de sociedad o empresa (de primera categoría ante el SII) y/o una empresa Individual de Responsabilidad Limitada (EIRL), previamente existente al inicio de la convocatoria. ⏎ ¿Cómo postular? ⏎ Paso 1.- Registrarse como usuario o usuaria de Sercotec. ⏎ Paso 2.- Descargar y leer detenidamente las bases y anexos de la convocatoria. ⏎ Paso 3.- Completar el formulario de postulación, para lo cual se debe responder un test de preselección y enviar un video de presentación junto con los documentos requeridos, verificando que cumplan con el formato y contenido solicitados, en el plazo establecido. ⏎ El número estimado de postulantes que serán beneficiarios y beneficiarias de esta convocatoria es de 11 a nivel territorial.
Capital Semilla Emprende Provincia Malleco 2026, Región de La Araucanía;29/04/2026;13/05/2026;La Araucanía;https://www.sercotec.cl/convocatoria/capital-semilla-emprende-region-de-la-araucania-provincia-de-malleco-2026/;Emprendedores y emprendedoras mayores de edad (igual o mayor a 18 años), sin inicio de actividades en primera categoría ante el Servicio de Impuestos Internos, que presenten un proyecto de negocio que cumpla con el foco definido por la convocatoria de Sercotec en su región, según lo señalado en las bases de postulación. ⏎ Para postular, la persona no puede tener deudas laborales, previsionales ni tributarias, y no debe figurar en el Registro Nacional de Deudores de Pensiones de Alimentos. Tampoco puede tener participación mayor al 50% en cualquier tipo de sociedad o empresa (de primera categoría ante el SII) y/o una empresa Individual de Responsabilidad Limitada (EIRL), previamente existente al inicio de la convocatoria. ⏎ ¿Cómo postular? ⏎ Paso 1.- Registrarse como usuario o usuaria de Sercotec. ⏎ Paso 2.- Descargar y leer detenidamente las bases y anexos de la convocatoria. ⏎ Paso 3.- Completar el formulario de postulación, para lo cual se debe responder un test de preselección y enviar un video de presentación junto con los documentos requeridos, verificando que cumplan con el formato y contenido solicitados, en el plazo establecido. ⏎ El número estimado de postulantes que serán beneficiarios y beneficiarias de esta convocatoria es de 25 a nivel territorial.
Capital Semilla Emprende Provincia Cautín 2026, Región de La Araucanía;29/04/2026;13/05/2026;La Araucanía;https://www.sercotec.cl/convocatoria/capital-semilla-emprende-region-de-la-araucania-provincia-de-cautin-2026/;Emprendedores y emprendedoras mayores de edad (igual o mayor a 18 años), sin inicio de actividades en primera categoría ante el Servicio de Impuestos Internos, que presenten un proyecto de negocio que cumpla con el foco definido por la convocatoria de Sercotec en su región, según lo señalado en las bases de postulación. ⏎ Para postular, la persona no puede tener deudas laborales, previsionales ni tributarias, y no debe figurar en el Registro Nacional de Deudores de Pensiones de Alimentos. Tampoco puede tener participación mayor al 50% en cualquier tipo de sociedad o empresa (de primera categoría ante el SII) y/o una empresa Individual de Responsabilidad Limitada (EIRL), previamente existente al inicio de la convocatoria. ⏎ ¿Cómo postular? ⏎ Paso 1.- Registrarse como usuario o usuaria de Sercotec. ⏎ Paso 2.- Descargar y leer detenidamente las bases y anexos de la convocatoria. ⏎ Paso 3.- Completar el formulario de postulación, para lo cual se debe responder un test de preselección y enviar un video de presentación junto con los documentos requeridos, verificando que cumplan con el formato y contenido solicitados, en el plazo establecido. ⏎ El número estimado de postulantes que serán beneficiarios y beneficiarias de esta convocatoria es de 24 a nivel territorial.
Capital Semilla Región de Lagos 2026;29/04/2026;13/05/2026;Los Lagos;https://www.sercotec.cl/convocatoria/capital-semilla-emprende-region-de-los-lagos-2026/;Emprendedores y emprendedoras mayores de edad (igual o mayor a 18 años), sin inicio de actividades en primera categoría ante el Servicio de Impuestos Internos, que presenten un proyecto de negocio que cumpla con el foco definido por la convocatoria de Sercotec en su región, según lo señalado en las bases de postulación. ⏎ Para postular, la persona no puede tener deudas laborales, previsionales ni tributarias, y no debe figurar en el Registro Nacional de Deudores de Pensiones de Alimentos. Tampoco puede tener participación mayor al 50% en cualquier tipo de sociedad o empresa (de primera categoría ante el SII) y/o una empresa Individual de Responsabilidad Limitada (EIRL), previamente existente al inicio de la convocatoria. ⏎ ¿Cómo postular? ⏎ Paso 1.- Registrarse como usuario o usuaria de Sercotec. ⏎ Paso 2.- Descargar y leer detenidamente las bases y anexos de la convocatoria. ⏎ Paso 3.- Completar el formulario de postulación, para lo cual se debe responder un test de preselección y enviar un video de presentación junto con los documentos requeridos, verificando que cumplan con el formato y contenido solicitados, en el plazo establecido. ⏎ El número estimado de postulantes que serán beneficiarios y beneficiarias de esta convocatoria es de 31 a nivel territorial.
CAPITAL SEMILLA 2026 REGIONAL MULTISECTORIAL;29/04/2026;13/05/2026;Aysén;https://www.sercotec.cl/convocatoria/capital-semilla-emprende-region-de-aysen-2026/;Emprendedores y emprendedoras mayores de edad (igual o mayor a 18 años), sin inicio de actividades en primera categoría ante el Servicio de Impuestos Internos, que presenten un proyecto de negocio que cumpla con el foco definido por la convocatoria de Sercotec en su región, según lo señalado en las bases de postulación. ⏎ Para postular, la persona no puede tener deudas laborales, previsionales ni tributarias, y no debe figurar en el Registro Nacional de Deudores de Pensiones de Alimentos. Tampoco puede tener participación mayor al 50% en cualquier tipo de sociedad o empresa (de primera categoría ante el SII) y/o una empresa Individual de Responsabilidad Limitada (EIRL), previamente existente al inicio de la convocatoria. ⏎ ¿Cómo postular? ⏎ Paso 1.- Registrarse como usuario o usuaria de Sercotec. ⏎ Paso 2.- Descargar y leer detenidamente las bases y anexos de la convocatoria. ⏎ Paso 3.- Completar el formulario de postulación, para lo cual se debe responder un test de preselección y enviar un video de presentación junto con los documentos requeridos, verificando que cumplan con el formato y contenido solicitados, en el plazo establecido. ⏎ El número estimado de postulantes que serán beneficiarios y beneficiarias de esta convocatoria es de 25 a nivel territorial.
Capital Semilla Emprende, Comuna de Punta Arenas y Natales (Excluye Puerto Edén), Región de Magallanes y Antártica Chilena,2026.;29/04/2026;13/05/2026;Magallanes;https://www.sercotec.cl/convocatoria/capital-semilla-emprende-region-de-magallanes-punta-arenas-y-natales-2026/;Emprendedores y emprendedoras mayores de edad (igual o mayor a 18 años), sin inicio de actividades en primera categoría ante el Servicio de Impuestos Internos, que presenten un proyecto de negocio que cumpla con el foco definido por la convocatoria de Sercotec en su región, según lo señalado en las bases de postulación. ⏎ Para postular, la persona no puede tener deudas laborales, previsionales ni tributarias, y no debe figurar en el Registro Nacional de Deudores de Pensiones de Alimentos. Tampoco puede tener participación mayor al 50% en cualquier tipo de sociedad o empresa (de primera categoría ante el SII) y/o una empresa Individual de Responsabilidad Limitada (EIRL), previamente existente al inicio de la convocatoria. ⏎ ¿Cómo postular? ⏎ Paso 1.- Registrarse como usuario o usuaria de Sercotec. ⏎ Paso 2.- Descargar y leer detenidamente las bases y anexos de la convocatoria. ⏎ Paso 3.- Completar el formulario de postulación, para lo cual se debe responder un test de preselección y enviar un video de presentación junto con los documentos requeridos, verificando que cumplan con el formato y contenido solicitados, en el plazo establecido. ⏎ El número estimado de postulantes que serán beneficiarios y beneficiarias de esta convocatoria es de 15 a nivel territorial.
Capital Semilla Emprende, Comunas Laguna Blanca Río Verde San Gregorio Torres del Paine Porvenir Primavera Timaukel, Cabo de Hornos y Localidad de Puerto Edén, Región de Magallanes y Antártica Chilena;29/04/2026;13/05/2026;Magallanes;https://www.sercotec.cl/convocatoria/capital-semilla-emprende-region-de-magallanes-otras-comunas-2026/;Emprendedores y emprendedoras mayores de edad (igual o mayor a 18 años), sin inicio de actividades en primera categoría ante el Servicio de Impuestos Internos, que presenten un proyecto de negocio que cumpla con el foco definido por la convocatoria de Sercotec en su región, según lo señalado en las bases de postulación. ⏎ Para postular, la persona no puede tener deudas laborales, previsionales ni tributarias, y no debe figurar en el Registro Nacional de Deudores de Pensiones de Alimentos. Tampoco puede tener participación mayor al 50% en cualquier tipo de sociedad o empresa (de primera categoría ante el SII) y/o una empresa Individual de Responsabilidad Limitada (EIRL), previamente existente al inicio de la convocatoria. ⏎ ¿Cómo postular? ⏎ Paso 1.- Registrarse como usuario o usuaria de Sercotec. ⏎ Paso 2.- Descargar y leer detenidamente las bases y anexos de la convocatoria. ⏎ Paso 3.- Completar el formulario de postulación, para lo cual se debe responder un test de preselección y enviar un video de presentación junto con los documentos requeridos, verificando que cumplan con el formato y contenido solicitados, en el plazo establecido. ⏎ El número estimado de postulantes que serán beneficiarios y beneficiarias de esta convocatoria es de 10 a nivel territorial.
CAPITAL SEMILLA EMPRENDE 2026-DRM;29/04/2026;13/05/2026;Metropolitana;https://www.sercotec.cl/convocatoria/capital-semilla-emprende-region-metropolitana-de-santiago-2026/;Emprendedores y emprendedoras mayores de edad (igual o mayor a 18 años), sin inicio de actividades en primera categoría ante el Servicio de Impuestos Internos, que presenten un proyecto de negocio que cumpla con el foco definido por la convocatoria de Sercotec en su región, según lo señalado en las bases de postulación. ⏎ Para postular, la persona no puede tener deudas laborales, previsionales ni tributarias, y no debe figurar en el Registro Nacional de Deudores de Pensiones de Alimentos. Tampoco puede tener participación mayor al 50% en cualquier tipo de sociedad o empresa (de primera categoría ante el SII) y/o una empresa Individual de Responsabilidad Limitada (EIRL), previamente existente al inicio de la convocatoria. ⏎ ¿Cómo postular? ⏎ Paso 1.- Registrarse como usuario o usuaria de Sercotec. ⏎ Paso 2.- Descargar y leer detenidamente las bases y anexos de la convocatoria. ⏎ Paso 3.- Completar el formulario de postulación, para lo cual se debe responder un test de preselección y enviar un video de presentación junto con los documentos requeridos, verificando que cumplan con el formato y contenido solicitados, en el plazo establecido. ⏎ El número estimado de postulantes que serán beneficiarios y beneficiarias de esta convocatoria es de 58 a nivel territorial.
Capital Semilla Emprende 2026 Región de Los Ríos;29/04/2026;13/05/2026;Los Ríos;https://www.sercotec.cl/convocatoria/capital-semilla-emprende-region-de-los-rios-2026/;Emprendedores y emprendedoras mayores de edad (igual o mayor a 18 años), sin inicio de actividades en primera categoría ante el Servicio de Impuestos Internos, que presenten un proyecto de negocio que cumpla con el foco definido por la convocatoria de Sercotec en su región, según lo señalado en las bases de postulación. ⏎ Para postular, la persona no puede tener deudas laborales, previsionales ni tributarias, y no debe figurar en el Registro Nacional de Deudores de Pensiones de Alimentos. Tampoco puede tener participación mayor al 50% en cualquier tipo de sociedad o empresa (de primera categoría ante el SII) y/o una empresa Individual de Responsabilidad Limitada (EIRL), previamente existente al inicio de la convocatoria. ⏎ ¿Cómo postular? ⏎ Paso 1.- Registrarse como usuario o usuaria de Sercotec. ⏎ Paso 2.- Descargar y leer detenidamente las bases y anexos de la convocatoria. ⏎ Paso 3.- Completar el formulario de postulación, para lo cual se debe responder un test de preselección y enviar un video de presentación junto con los documentos requeridos, verificando que cumplan con el formato y contenido solicitados, en el plazo establecido. ⏎ El número estimado de postulantes que serán beneficiarios y beneficiarias de esta convocatoria es de 23 a nivel territorial.
CAPITAL SEMILLA EMPRENDE 2026;29/04/2026;13/05/2026;Arica y Parinacota;https://www.sercotec.cl/convocatoria/capital-semilla-emprende-region-de-arica-parinacota-2026/;Emprendedores y emprendedoras mayores de edad (igual o mayor a 18 años), sin inicio de actividades en primera categoría ante el Servicio de Impuestos Internos, que presenten un proyecto de negocio que cumpla con el foco definido por la convocatoria de Sercotec en su región, según lo señalado en las bases de postulación. ⏎ Para postular, la persona no puede tener deudas laborales, previsionales ni tributarias, y no debe figurar en el Registro Nacional de Deudores de Pensiones de Alimentos. Tampoco puede tener participación mayor al 50% en cualquier tipo de sociedad o empresa (de primera categoría ante el SII) y/o una empresa Individual de Responsabilidad Limitada (EIRL), previamente existente al inicio de la convocatoria. ⏎ ¿Cómo postular? ⏎ Paso 1.- Registrarse como usuario o usuaria de Sercotec. ⏎ Paso 2.- Descargar y leer detenidamente las bases y anexos de la convocatoria. ⏎ Paso 3.- Completar el formulario de postulación, para lo cual se debe responder un test de preselección y enviar un video de presentación junto con los documentos requeridos, verificando que cumplan con el formato y contenido solicitados, en el plazo establecido. ⏎ El número estimado de postulantes que serán beneficiarios y beneficiarias de esta convocatoria es de 26 a nivel territorial.
Capital Semilla Emprende Nuble 2026;29/04/2026;13/05/2026;Ñuble;https://www.sercotec.cl/convocatoria/capital-semilla-emprende-region-de-nuble-2026/;Emprendedores y emprendedoras mayores de edad (igual o mayor a 18 años), sin inicio de actividades en primera categoría ante el Servicio de Impuestos Internos, que presenten un proyecto de negocio que cumpla con el foco definido por la convocatoria de Sercotec en su región, según lo señalado en las bases de postulación. ⏎ Para postular, la persona no puede tener deudas laborales, previsionales ni tributarias, y no debe figurar en el Registro Nacional de Deudores de Pensiones de Alimentos. Tampoco puede tener participación mayor al 50% en cualquier tipo de sociedad o empresa (de primera categoría ante el SII) y/o una empresa Individual de Responsabilidad Limitada (EIRL), previamente existente al inicio de la convocatoria. ⏎ ¿Cómo postular? ⏎ Paso 1.- Registrarse como usuario o usuaria de Sercotec. ⏎ Paso 2.- Descargar y leer detenidamente las bases y anexos de la convocatoria. ⏎ Paso 3.- Completar el formulario de postulación, para lo cual se debe responder un test de preselección y enviar un video de presentación junto con los documentos requeridos, verificando que cumplan con el formato y contenido solicitados, en el plazo establecido. ⏎ El número estimado de postulantes que serán beneficiarios y beneficiarias de esta convocatoria es de 26 a nivel territorial.
